iter	Passed	Remaining
399	53906	215627
400	54039	215485
401	54181	215377
402	54310	215222
403	54431	215032
404	54557	214862
405	54668	214635
406	54818	214559
407	54966	214478
408	55062	214190
409	55208	214102
410	55323	213889
411	55418	213604
412	55540	213420
413	55638	213145
414	55773	213012
415	55922	212936
416	56060	212813
417	56189	212659
418	56296	212421
419	56438	212314
420	56548	212089
421	56672	211919
422	56779	211679
423	56938	211638
424	57051	211424
425	57214	211399
426	57348	211263
427	57484	211136
428	57598	210926
429	57742	210827
430	57899	210777
431	58072	210781
432	58255	210822
433	58392	210697
434	58515	210519
435	58664	210439
436	58817	210371
437	58954	210245
438	59079	210077
439	59206	209915
440	59330	209743
441	59446	209541
442	59552	209307
443	59668	209107
444	59782	208901
445	59899	208707
446	60011	208496
447	60133	208319
448	60256	208147
449	60380	207975
450	60527	207887
451	60664	207761
452	60775	207550
453	60902	207389
454	61026	207222
455	61163	207099
456	61271	206874
457	61396	206710
458	61529	206574
459	61655	206412
460	61781	206252
461	61892	206038
462	62044	205964
463	62188	205865
464	62330	205757
465	62430	205511
466	62581	205432
467	62708	205277
468	62828	205096
469	62938	204884
470	63048	204672
471	63186	204553
472	63313	204397
473	63445	204257
474	63574	204108
475	63695	203933
476	63819	203768
477	63916	203515
478	64042	203359
479	64193	203278
480	64312	203099
481	64457	203002
482	64605	202912
483	64761	202846
484	64892	202705
485	65005	202505
486	65126	202334
487	65266	202219
488	65404	202098
489	65536	201958
490	65664	201809
491	65767	201581
492	65897	201436
493	66001	201210
494	66121	201037
495	66231	200830
496	66352	200658
497	66490	200540
498	66604	200347
499	66715	200145
500	66863	200055
501	66992	199910
502	67135	199804
503	67258	199641
504	67374	199455
505	67507	199319
506	67635	199170
507	67786	199089
508	67896	198887
509	68008	198691
510	68111	198471
511	68231	198299
512	68338	198087
513	68495	198025
514	68603	197817
515	68724	197649
516	68831	197442
517	68984	197363
518	69111	197213
519	69223	197021
520	69320	196785
521	69440	196615
522	69553	196426
523	69684	196286
524	69801	196107
525	69930	195965
526	70065	195838
527	70174	195637
528	70309	195511
529	70429	195342
530	70542	195154
531	70648	194946
532	70779	194810
533	70923	194706
534	71032	194509
535	71140	194307
536	71277	194187
537	71404	194039
538	71521	193863
539	71659	193746
540	71807	193653
541	71945	193536
542	72081	193413
543	72203	193251
544	72324	193085
545	72460	192963
546	72612	192880
547	72741	192739
548	72889	192645
549	73040	192562
550	73140	192342
551	73296	192270
552	73411	192091
553	73554	191986
554	73669	191806
555	73785	191629
556	73902	191455
557	74020	191285
558	74143	191128
559	74291	191035
560	74392	190820
561	74517	190668
562	74669	190586
563	74805	190461
564	74925	190297
565	75035	190107
566	75131	189882
567	75257	189734
568	75373	189560
569	75480	189363
570	75605	189211
571	75726	189051
572	75860	188923
573	75984	188768
574	76105	188608
575	76251	188510
576	76393	188402
577	76499	188203
578	76614	188030
579	76738	187877
580	76877	187760
581	77020	187655
582	77145	187505
583	77297	187421
584	77417	187258
585	77569	187171
586	77680	186987
587	77810	186850
588	77910	186640
589	78004	186418
590	78159	186339
591	78292	186209
592	78408	186038
593	78533	185889
594	78651	185722
595	78786	185597
596	78944	185525
597	79090	185426
598	79219	185285
599	79320	185080
600	79448	184939
601	79584	184816
602	79695	184633
603	79804	184448
604	79952	184352
605	80059	184164
606	80186	184019
607	80327	183908
608	80454	183764
609	80574	183603
610	80695	183447
611	80809	183272
612	80935	183127
613	81063	182986
614	81162	182781
615	81280	182616
616	81397	182452
617	81535	182334
618	81633	182125
619	81753	181967
620	81876	181816
621	82004	181674
622	82151	181576
623	82280	181439
624	82377	181231
625	82480	181035
626	82591	180857
627	82720	180720
628	82852	180589
629	82961	180409
630	83082	180252
631	83223	180141
632	83340	179978
633	83449	179798
634	83583	179672
635	83704	179517
636	83801	179312
637	83911	179134
638	84027	178968
639	84167	178855
640	84317	178763
641	84437	178606
642	84534	178403
643	84638	178213
644	84790	178126
645	84924	177999
646	85044	177844
647	85172	177705
648	85320	177608
649	85455	177485
650	85562	177301
651	85704	177193
652	85833	177055
653	85947	176888
654	86047	176692
655	86152	176508
656	86284	176377
657	86402	176218
658	86531	176082
659	86648	175922
660	86768	175767
661	86877	175592
662	86984	175413
663	87088	175225
664	87196	175049
665	87337	174938
666	87453	174776
667	87566	174607
668	87694	174471
669	87828	174345
670	87945	174188
671	88074	174051
672	88227	173963
673	88332	173782
674	88442	173610
675	88563	173457
676	88688	173315
677	88826	173198
678	88969	173090
679	89089	172939
680	89216	172799
681	89324	172624
682	89438	172460
683	89569	172329
684	89737	172270
685	89864	172131
686	89981	171972
687	90098	171815
688	90246	171717
689	90347	171530
690	90489	171418
691	90644	171333
692	90793	171237
693	90893	171048
694	91015	170899
695	91115	170710
696	91224	170539
697	91347	170393
698	91469	170246
699	91614	170141
700	91748	170016
701	91886	169898
702	91997	169731
703	92117	169579
704	92231	169418
705	92348	169261
706	92479	169131
707	92585	168956
708	92712	168817
709	92844	168689
710	92979	168566
711	93089	168398
712	93221	168269
713	93375	168180
714	93526	168086
715	93643	167930
716	93776	167804
717	93884	167633
718	93987	167452
719	94137	167354
720	94281	167248
721	94377	167056
722	94510	166929
723	94630	166779
724	94752	166634
725	94870	166481
726	94992	166334
727	95109	166180
728	95259	166083
729	95379	165934
730	95481	165754
731	95570	165550
732	95701	165421
733	95854	165328
734	95991	165209
735	96114	165066
736	96245	164936
737	96405	164855
738	96524	164706
739	96652	164570
740	96797	164463
741	96921	164321
742	97054	164196
743	97208	164103
744	97323	163947
745	97450	163810
746	97583	163684
747	97687	163509
748	97796	163341
749	97918	163198
750	98021	163021
751	98140	162871
752	98278	162753
753	98403	162613
754	98551	162511
755	98665	162353
756	98781	162200
757	98892	162037
758	99035	161927
759	99144	161762
760	99275	161631
761	99408	161505
762	99536	161372
763	99645	161206
764	99765	161059
765	99882	160906
766	99991	160743
767	100119	160607
768	100248	160475
769	100351	160301
770	100491	160186
771	100613	160042
772	100762	159943
773	100880	159793
774	100976	159607
775	101118	159496
776	101225	159328
777	101328	159156
778	101454	159019
779	101561	158853
780	101720	158767
781	101820	158590
782	101911	158399
783	102028	158247
784	102129	158073
785	102271	157961
786	102407	157839
787	102560	157745
788	102689	157612
789	102838	157512
790	102943	157343
791	103104	157260
792	103226	157117
793	103380	157023
794	103523	156912
795	103692	156841
796	103841	156739
797	103974	156613
798	104111	156493
799	104212	156319
800	104371	156231
801	104523	156133
802	104657	156009
803	104813	155916
804	104958	155808
805	105094	155685
806	105246	155586
807	105395	155483
808	105530	155360
809	105702	155290
810	105841	155173
811	105998	155082
812	106101	154910
813	106222	154765
814	106348	154629
815	106483	154505
816	106648	154425
817	106774	154287
818	106883	154126
819	107006	153984
820	107116	153824
821	107255	153707
822	107380	153568
823	107530	153465
824	107631	153293
825	107742	153134
826	107861	152988
827	107998	152867
828	108144	152758
829	108248	152591
830	108352	152424
831	108484	152296
832	108575	152110
833	108704	151978
834	108833	151845
835	108943	151687
836	109075	151559
837	109179	151392
838	109300	151248
839	109410	151090
840	109533	150950
841	109669	150827
842	109782	150674
843	109889	150512
844	110006	150364
845	110117	150207
846	110225	150046
847	110337	149892
848	110462	149755
849	110620	149662
850	110745	149525
851	110862	149378
852	110993	149249
853	111082	149063
854	111192	148906
855	111309	148759
856	111439	148629
857	111580	148514
858	111744	148429
859	111872	148295
860	111978	148134
861	112112	148008
862	112224	147855
863	112331	147695
864	112437	147533
865	112546	147375
866	112657	147222
867	112781	147084
868	112933	146982
869	113050	146835
870	113158	146677
871	113256	146506
872	113391	146383
873	113536	146272
874	113654	146127
875	113792	146007
876	113899	145848
877	114007	145691
878	114150	145577
879	114294	145465
880	114434	145348
881	114575	145233
882	114689	145082
883	114814	144947
884	114957	144833
885	115075	144688
886	115234	144594
887	115395	144504
888	115546	144400
889	115682	144278
890	115853	144199
891	115995	144083
892	116132	143962
893	116283	143858
894	116383	143691
895	116482	143523
896	116597	143375
897	116742	143263
898	116874	143135
899	116987	142985
900	117088	142819
901	117208	142677
902	117340	142549
903	117457	142404
904	117573	142257
905	117672	142089
906	117772	141924
907	117908	141801
908	118042	141676
909	118149	141519
910	118249	141354
911	118349	141189
912	118461	141038
913	118611	140932
914	118766	140832
915	118879	140682
916	119039	140588
917	119185	140477
918	119284	140311
919	119408	140175
920	119542	140050
921	119644	139888
922	119754	139735
923	119884	139605
924	120008	139469
925	120114	139312
926	120251	139191
927	120385	139065
928	120500	138919
929	120631	138790
930	120746	138644
931	120873	138511
932	120993	138370
933	121117	138234
934	121217	138070
935	121342	137936
936	121481	137817
937	121593	137668
938	121712	137525
939	121864	137421
940	121989	137286
941	122103	137139
942	122242	137021
943	122364	136882
944	122467	136723
945	122607	136605
946	122734	136472
947	122838	136314
948	122955	136170
949	123056	136009
950	123179	135873
951	123290	135723
952	123401	135573
953	123491	135400
954	123622	135272
955	123738	135129
956	123845	134974
957	123965	134835
958	124094	134705
959	124220	134572
960	124334	134426
961	124486	134320
962	124595	134169
963	124725	134041
964	124842	133897
965	124990	133789
966	125114	133653
967	125247	133528
968	125385	133408
969	125493	133255
970	125633	133137
971	125740	132985
972	125873	132859
973	125973	132698
974	126113	132580
975	126212	132419
976	126346	132295
977	126463	132153
978	126563	131993
979	126696	131867
980	126799	131711
981	126893	131545
982	126996	131388
983	127108	131241
984	127217	131092
985	127332	130948
986	127447	130804
987	127579	130678
988	127721	130562
989	127829	130411
990	127933	130257
991	128085	130151
992	128204	130012
993	128347	129897
994	128471	129762
995	128606	129639
996	128747	129522
997	128898	129415
998	129009	129267
999	129129	129129
1000	129256	128997
1001	129380	128864
1002	129517	128742
1003	129628	128595
1004	129761	128470
1005	129900	128351
1006	130040	128232
1007	130152	128086
1008	130263	127939
1009	130400	127818
1010	130520	127680
1011	130633	127535
1012	130759	127403
1013	130908	127293
1014	131065	127192
1015	131185	127053
1016	131308	126918
1017	131467	126817
1018	131617	126709
1019	131780	126612
1020	131918	126492
1021	132050	126365
1022	132219	126274
1023	132367	126162
1024	132487	126024
1025	132650	125927
1026	132758	125777
1027	132876	125638
1028	133017	125519
1029	133145	125389
1030	133269	125255
1031	133414	125140
1032	133560	125027
1033	133674	124883
1034	133790	124741
1035	133940	124631
1036	134069	124502
1037	134221	124394
1038	134369	124282
1039	134503	124156
1040	134647	124041
1041	134791	123925
1042	134927	123801
1043	135022	123641
1044	135112	123475
1045	135234	123340
1046	135358	123205
1047	135457	123049
1048	135590	122923
1049	135704	122779
1050	135810	122630
1051	135925	122488
1052	136034	122340
1053	136152	122201
1054	136306	122094
1055	136442	121971
1056	136570	121841
1057	136690	121703
1058	136808	121564
1059	136919	121419
1060	137054	121295
1061	137224	121202
1062	137379	121095
1063	137532	120987
1064	137647	120845
1065	137769	120710
1066	137905	120586
1067	138026	120449
1068	138141	120308
1069	138267	120176
1070	138397	120047
1071	138536	119927
1072	138641	119777
1073	138745	119625
1074	138889	119509
1075	139007	119370
1076	139151	119254
1077	139278	119123
1078	139426	119009
1079	139570	118893
1080	139715	118777
1081	139846	118650
1082	139974	118519
1083	140113	118398
1084	140254	118279
1085	140396	118160
