iter	MultiClass_SumError	MultiClass_SumWeight
226	1034934.357	1042606.638
227	1034987.677	1042606.638
228	1034597.786	1042606.638
229	1034853.97	1042606.638
230	1035126.013	1042606.638
231	1035467.752	1042606.638
232	1035351.877	1042606.638
233	1035304.397	1042606.638
234	1035322.966	1042606.638
235	1036098.119	1042606.638
236	1036025.612	1042606.638
237	1036453.901	1042606.638
238	1036233.371	1042606.638
239	1035993.591	1042606.638
240	1035827.714	1042606.638
241	1035811.634	1042606.638
242	1035491.512	1042606.638
243	1035656.531	1042606.638
244	1035202.295	1042606.638
245	1035059.659	1042606.638
246	1035034.611	1042606.638
247	1035183.9	1042606.638
248	1035026.074	1042606.638
249	1035070.656	1042606.638
250	1035047.826	1042606.638
251	1035200.897	1042606.638
252	1035051.962	1042606.638
253	1034996.712	1042606.638
254	1035274.234	1042606.638
255	1035156.269	1042606.638
256	1035122.991	1042606.638
257	1035317.433	1042606.638
258	1035290.252	1042606.638
259	1035343.941	1042606.638
260	1035589.579	1042606.638
261	1035725.747	1042606.638
262	1035777.782	1042606.638
263	1035842.397	1042606.638
264	1035821.751	1042606.638
265	1035798.63	1042606.638
266	1035893.53	1042606.638
267	1036296.071	1042606.638
268	1036342.89	1042606.638
269	1036498.795	1042606.638
270	1036315.948	1042606.638
271	1036364.896	1042606.638
272	1036390.583	1042606.638
273	1036399.354	1042606.638
274	1036524.026	1042606.638
275	1036662.918	1042606.638
276	1036792.773	1042606.638
277	1036785.399	1042606.638
278	1036754.45	1042606.638
279	1036729.585	1042606.638
280	1036669.871	1042606.638
281	1036671.107	1042606.638
282	1036789.568	1042606.638
283	1036958.938	1042606.638
284	1036605.955	1042606.638
285	1036533.74	1042606.638
286	1036609.943	1042606.638
287	1036675.762	1042606.638
288	1036485.454	1042606.638
289	1036438.453	1042606.638
290	1036347.236	1042606.638
291	1036343.3	1042606.638
292	1036326.971	1042606.638
293	1036415.552	1042606.638
294	1036551.168	1042606.638
295	1036643.481	1042606.638
296	1036715.655	1042606.638
297	1036624.883	1042606.638
298	1036780.504	1042606.638
299	1037052.8	1042606.638
300	1036769.331	1042606.638
301	1036740.649	1042606.638
302	1036634.99	1042606.638
303	1036704.426	1042606.638
304	1036280.554	1042606.638
305	1036401.238	1042606.638
306	1036466.525	1042606.638
307	1036658.754	1042606.638
308	1036519.848	1042606.638
309	1036528.437	1042606.638
310	1036512.708	1042606.638
311	1036695.345	1042606.638
312	1036804.378	1042606.638
313	1036459.232	1042606.638
314	1036215.024	1042606.638
315	1036283.609	1042606.638
316	1036268.279	1042606.638
317	1036730.239	1042606.638
318	1036793.097	1042606.638
319	1036611.777	1042606.638
320	1036639.709	1042606.638
321	1036495.162	1042606.638
322	1036717.787	1042606.638
323	1036741.421	1042606.638
324	1036659.292	1042606.638
325	1036883.942	1042606.638
326	1037004.034	1042606.638
327	1037030.962	1042606.638
328	1037169.525	1042606.638
329	1036872.781	1042606.638
330	1037062.009	1042606.638
331	1037177.681	1042606.638
332	1037460.827	1042606.638
333	1037207.301	1042606.638
334	1037255.541	1042606.638
335	1037299.492	1042606.638
336	1037045.698	1042606.638
337	1037008.937	1042606.638
338	1037093.935	1042606.638
339	1037131.242	1042606.638
340	1037131.942	1042606.638
341	1037070.647	1042606.638
342	1037291.292	1042606.638
343	1037381.876	1042606.638
344	1037490.298	1042606.638
345	1037425.52	1042606.638
346	1037438.841	1042606.638
347	1037817.489	1042606.638
348	1037748.236	1042606.638
349	1038044.728	1042606.638
350	1038080.661	1042606.638
351	1037990.386	1042606.638
352	1038037.645	1042606.638
353	1038137.717	1042606.638
354	1038437.379	1042606.638
355	1038620.563	1042606.638
356	1038791.2	1042606.638
357	1038792.866	1042606.638
358	1038789.533	1042606.638
359	1038902.754	1042606.638
360	1038855.807	1042606.638
361	1039047.092	1042606.638
362	1039094.153	1042606.638
363	1039132.272	1042606.638
364	1039149.194	1042606.638
365	1039244.751	1042606.638
366	1039113.2	1042606.638
367	1038842.353	1042606.638
368	1038855.891	1042606.638
369	1038764.58	1042606.638
370	1038562.044	1042606.638
371	1038586.896	1042606.638
372	1038409.061	1042606.638
373	1038249.849	1042606.638
374	1038485.66	1042606.638
375	1037899.383	1042606.638
376	1037569.549	1042606.638
377	1037697.107	1042606.638
378	1037653.271	1042606.638
379	1037735.521	1042606.638
380	1037739.321	1042606.638
381	1037392.535	1042606.638
382	1037529.045	1042606.638
383	1037533.534	1042606.638
384	1037683.805	1042606.638
385	1037627.448	1042606.638
386	1037739.615	1042606.638
387	1037640.284	1042606.638
388	1037141.764	1042606.638
389	1037368.96	1042606.638
390	1037464.511	1042606.638
391	1037452.568	1042606.638
392	1037269.149	1042606.638
393	1037347.52	1042606.638
394	1037318.654	1042606.638
395	1037360.089	1042606.638
396	1037226.862	1042606.638
397	1037394.844	1042606.638
398	1037418.399	1042606.638
399	1037508.875	1042606.638
400	1037430.946	1042606.638
401	1037598.816	1042606.638
402	1037498.732	1042606.638
403	1037636.2	1042606.638
404	1037402.443	1042606.638
405	1037300.458	1042606.638
406	1037247.226	1042606.638
407	1037605.733	1042606.638
408	1037777.06	1042606.638
409	1037861.387	1042606.638
410	1037627.525	1042606.638
